time,data_no.,gyro_x,gyro_y,gyro_z,g_x_scaled,g_y_scaled,g_z_scaled,accel_x,accel_y,accel_z,a_x_scaled,a_y_scaled,a_z_scaled,rotation_x,rotation_y
2019-01-28 20:51:48.76,169,-430,243,56,-3.2824,1.855,0.4275,-8,6784,14900,-0.0005,0.4141,0.9094,24.4799,0.028
2019-01-28 20:51:48.87,170,-416,273,70,-3.1756,2.084,0.5344,-208,6752,14844,-0.0127,0.4121,0.906,24.457,0.7308
2019-01-28 20:51:48.98,171,-412,2,76,-3.145,0.0153,0.5802,-200,6648,14848,-0.0122,0.4058,0.9062,24.1179,0.7043
2019-01-28 20:51:49.09,172,-425,268,66,-3.2443,2.0458,0.5038,-200,6736,14724,-0.0122,0.4111,0.8987,24.5814,0.7077
2019-01-28 20:51:49.20,173,-437,252,55,-3.3359,1.9237,0.4198,-184,6744,14816,-0.0112,0.4116,0.9043,24.4726,0.6476
2019-01-28 20:51:49.32,174,-426,265,88,-3.2519,2.0229,0.6718,-176,6784,14884,-0.0107,0.4141,0.9084,24.5016,0.6165
2019-01-28 20:51:49.43,175,-432,259,66,-3.2977,1.9771,0.5038,-444,6708,14608,-0.0271,0.4094,0.8916,24.6546,1.5822
2019-01-28 20:51:49.54,176,-419,277,67,-3.1985,2.1145,0.5115,-116,6848,14776,-0.0071,0.418,0.9019,24.8649,0.4081
2019-01-28 20:51:49.66,177,-417,258,71,-3.1832,1.9695,0.542,-240,6424,14872,-0.0146,0.3921,0.9077,23.3593,0.8488
2019-01-28 20:51:49.77,178,-404,12,74,-3.084,0.0916,0.5649,-168,6656,14872,-0.0103,0.4062,0.9077,24.1097,0.5907
2019-01-28 20:51:49.88,179,-406,259,83,-3.0992,1.9771,0.6336,-48,6780,15056,-0.0029,0.4138,0.9189,24.2428,0.1666
2019-01-28 20:51:50.00,180,-432,278,51,-3.2977,2.1221,0.3893,-140,6676,15100,-0.0085,0.4075,0.9216,23.8502,0.4858
